# x1,	x2,	probability,	lower bound,	upper bound
1.0E-4,	1.0E-4,	0.03778782954937504,	0.003261578018329825,	0.20223780670467778
1.0E-4,	0.020929166666666665,	0.04265015832265001,	0.005032118201390101,	0.1927409040680494
1.0E-4,	0.04175833333333333,	0.04735351413343353,	0.006800277976627467,	0.19092178933690546
1.0E-4,	0.06258749999999999,	0.04906625644395202,	0.007567981577027538,	0.1897436504551518
1.0E-4,	0.08341666666666665,	0.04562709287302069,	0.006722578381446853,	0.18249910880143894
1.0E-4,	0.10424583333333332,	0.03715495531499102,	0.004687189813918746,	0.1656968317702721
1.0E-4,	0.125075,	0.026228753828156426,	0.0025468093898312616,	0.14059110914022932
1.0E-4,	0.14590416666666667,	0.016170742846308095,	0.0010909692285142603,	0.1119833728837914
1.0E-4,	0.16673333333333334,	0.008967465898895244,	3.849025907577408E-4,	0.0852672976705815
1.0E-4,	0.18756250000000002,	0.004710140332611024,	1.2125014593378225E-4,	0.06390778308907219
1.0E-4,	0.2083916666666667,	0.0025020724665811844,	3.794188367450824E-5,	0.04881109092640812
1.0E-4,	0.22922083333333337,	0.0014340272352313943,	1.3152192034626697E-5,	0.03922364195750205
1.0E-4,	0.25005000000000005,	9.31468304738392E-4,	5.51045570518216E-6,	0.033894786816570044
1.0E-4,	0.2708791666666667,	7.033779283038832E-4,	2.9367598507468173E-6,	0.03175310456764757
1.0E-4,	0.2917083333333334,	6.185133675468135E-4,	2.018136633530343E-6,	0.032092060744683015
1.0E-4,	0.3125375000000001,	6.232473204502709E-4,	1.76060990098037E-6,	0.034514136929044426
1.0E-4,	0.33336666666666676,	7.016499502412454E-4,	1.8876121656297151E-6,	0.0388193073750428
1.0E-4,	0.35419583333333343,	8.595330695770897E-4,	2.395721487913338E-6,	0.04493322262882815
1.0E-4,	0.3750250000000001,	0.0011216782896657507,	3.4804193452253607E-6,	0.05293349500675015
1.0E-4,	0.3958541666666668,	0.0015402374050635936,	5.644083433786751E-6,	0.06322139869823823
1.0E-4,	0.41668333333333346,	0.002219823652303443,	1.005050264613061E-5,	0.07686944729191908
1.0E-4,	0.43751250000000014,	0.0033734240461362752,	1.9418290212902534E-5,	0.09613701454153156
1.0E-4,	0.4583416666666668,	0.00543329386415603,	4.011311086071778E-5,	0.12503141673382712
1.0E-4,	0.4791708333333335,	0.009238545842298496,	8.654470881735987E-5,	0.1694179993116739
1.0E-4,	0.5000000000000001,	0.016254966969298956,	1.888315637611493E-4,	0.2354707741907317
0.08342916666666667,	1.0E-4,	0.05542422690218829,	0.008062904684246197,	0.21689381680458641
0.08342916666666667,	0.020929166666666665,	0.07190106728726126,	0.015272682227741752,	0.2234450752326877
0.08342916666666667,	0.04175833333333333,	0.08970424174584146,	0.024203236624534274,	0.23842609147801402
0.08342916666666667,	0.06258749999999999,	0.10202254904632224,	0.030611280365112403,	0.251959152761702
0.08342916666666667,	0.08341666666666665,	0.10220752613195283,	0.030506978434486576,	0.25310470096138904
0.08342916666666667,	0.10424583333333332,	0.08814908979192776,	0.023704639165666952,	0.23519124978451428
